SEQN,Gender,Age,BodyWeight
93703,F,2,13.7
93704,M,2,13.9
93705,F,66,79.5
93706,M,18,66.3
93707,M,13,45.4
93708,F,66,53.5
93709,F,75,88.8
93710,F,0,10.2
93711,M,56,62.1
93712,M,18,58.9
93713,M,67,74.9
93714,F,54,87.1
93715,M,71,65.6
93716,M,61,77.7
93717,M,22,74.4
93718,M,45,54.4
93719,F,13,67
93720,F,1,10.6
93721,F,60,85.1
93722,F,60,56.8
93723,M,64,64.9
93724,F,5,18.2
93725,F,9,34.3
93726,F,67,74.3
93727,M,70,62.7
93728,M,53,118.1
93729,M,42,82.8
93730,M,57,80.2
93731,M,20,89.2
93732,M,72,56.1
93733,F,11,40.8
93734,M,13,NA
93735,M,52,76.5
93736,M,11,36.9
93737,M,8,35
93738,M,26,97.7
93739,F,5,22.5
93740,M,72,102.9
93741,F,9,31.9
93742,M,72,107.9
93743,M,61,79.3
93744,F,10,50.8
93745,M,5,16.8
93746,F,25,62.1
93747,F,13,55
93748,M,0,9.3
93749,F,1,8.3
93750,F,52,NA
93751,F,7,45.1
93752,F,73,60.1
93753,F,10,56.3
93754,M,72,87.2
93755,F,26,93.8
93756,F,64,75.4
93757,M,63,106.7
93758,F,55,75.8
93759,M,60,73.1
93760,F,54,85.6
93761,M,44,80.2
93762,F,74,60.8
93763,M,40,84.1
93764,F,1,9.2
93765,M,19,63.1
93766,F,36,66.4
93767,M,61,86.4
93768,M,80,78.5
93769,M,6,23.5
93770,M,55,77.1
93771,M,3,13.3
93772,F,55,80.6
93773,M,69,74.6
93774,F,41,70.9
93775,F,47,58.5
93776,F,32,55.4
93777,F,72,NA
93778,F,19,73.3
93779,F,10,31.7
93780,F,46,87.5
93781,M,32,61
93782,F,25,65.1
93783,F,21,59.9
93784,F,2,12.4
93785,F,80,73.7
93786,M,0,NA
93787,F,13,58.7
93788,F,66,112.8
93789,F,34,71
93790,F,5,15.9
93791,M,20,100.6
93792,F,31,48.7
93793,M,12,67.5
93794,F,62,59.1
93795,M,64,44.5
93796,M,71,97.4
93797,F,52,86.3
93798,F,61,85.4
93799,M,41,71.3
93800,F,80,60.2
93801,M,59,79
93802,F,2,15.4
93803,M,12,55.4
93804,M,1,12
93805,F,64,89.9
93806,M,44,88.2
93807,F,13,103.6
93808,M,14,97.1
93809,M,1,11.5
93810,M,13,80.6
93811,M,24,79.6
93812,M,67,94.9
93813,F,42,104.3
93814,F,41,79.3
93815,F,32,72.9
93816,F,80,NA
93817,M,55,61.3
93818,M,14,87.6
93819,F,63,57.7
93820,F,11,72.6
93821,F,16,55
93822,F,6,24.8
93823,F,58,85.3
93824,F,52,72.2
93825,M,74,92.7
93826,F,74,NA
93827,F,68,52.3
93828,F,2,12.7
93829,F,38,82.5
93830,M,67,111.4
93831,M,61,74.9
93832,M,63,80.3
93833,M,6,23.4
93834,F,48,95.4
93835,M,27,NA
93836,F,13,52.5
93837,F,35,108.7
93838,M,5,40.1
93839,F,50,94.6
93840,M,47,78.3
93841,F,48,96.5
93842,M,2,10.6
93843,F,42,56.3
93844,M,6,38.7
93845,F,28,67.9
93846,F,29,54.6
93847,F,43,100.4
93848,M,62,85
93849,F,40,61.4
93850,F,74,65.3
93851,F,74,69.3
93852,F,45,79.6
93853,M,50,71.1
93854,M,0,8.6
93855,M,71,97.1
93856,M,66,134
93857,F,3,16.4
93858,F,19,36.2
93859,M,73,61.9
93860,F,39,NA
93861,M,76,98.1
93862,M,2,16
93863,M,50,94.4
93864,F,12,57.4
93865,M,0,7.8
93866,M,26,64.6
93867,F,2,13.2
93868,M,68,103.9
93869,M,80,71.6
93870,F,20,47.4
93871,F,55,54
93872,M,1,NA
93873,F,16,78.5
93874,F,8,21.4
93875,M,37,75.8
93876,M,10,56.6
93877,M,64,79
93878,F,59,63.6
93879,F,7,27.6
93880,F,5,22.7
93881,F,8,34.6
93882,M,26,NA
93883,F,30,114.5
93884,M,19,63.7
93885,M,8,29.4
93886,M,78,NA
93887,M,63,78.4
93888,F,37,59.7
93889,F,8,NA
93890,M,27,74.9
93891,F,56,94.2
93892,F,80,100.2
93893,M,55,89.4
93894,F,66,73.2
93895,M,40,112.8
93896,M,10,65.8
93897,F,10,58.7
93898,M,5,24.8
93899,M,67,91.5
93900,M,48,82.3
93901,F,12,62.3
93902,F,24,68.8
93903,M,62,89
93904,M,10,68.2
93905,M,15,57.2
93906,M,39,83.4
93907,F,41,80.6
93908,F,20,71.1
93909,M,41,68.2
93910,M,80,NA
93911,M,6,30.1
93912,F,25,170
93913,F,40,63.7
93914,M,41,107.9
93915,M,34,75.8
93916,M,28,70.2
93917,M,14,53.8
93918,M,36,114.6
93919,F,8,24
93920,F,61,49.6
93921,F,7,22.9
93922,M,11,49.3
93923,M,52,107.7
93924,F,70,58.9
93925,F,13,41.7
93926,M,31,106.9
93927,F,54,59.8
93928,M,11,37.5
93929,F,35,79.3
93930,M,80,84.1
93931,M,24,112.4
93932,F,54,78.7
93933,F,1,NA
93934,F,0,5.2
93935,M,39,NA
93936,M,0,9.7
93937,M,30,99.8
93938,F,18,63.1
93939,F,40,67.7
93940,M,50,68.5
93941,M,42,79.5
93942,F,52,97.5
93943,M,80,NA
93944,F,2,12.9
93945,M,66,61.3
93946,M,22,62
93947,F,53,55.3
93948,M,13,45.1
93949,F,49,55.9
93950,M,30,88.8
93951,F,0,7.6
93952,F,34,98.8
93953,M,26,118.1
93954,M,24,65.1
93955,F,66,NA
93956,M,8,NA
93957,F,41,80.7
93958,F,2,12.2
93959,F,61,74.5
93960,M,60,126.9
93961,F,54,NA
93962,M,0,8.1
93963,M,80,99.3
93964,M,52,85.5
93965,F,30,57.5
93966,M,0,4
93967,M,1,15.7
93968,M,57,77.1
93969,F,33,60.3
93970,M,33,69.6
93971,M,40,108.8
93972,M,35,102.8
93973,F,14,58.4
93974,M,59,96.8
93975,F,54,70.9
93976,F,0,8.1
93977,F,66,78.7
93978,M,57,59.8
93979,M,16,76.8
93980,F,29,58
93981,F,52,66.3
93982,F,57,60.1
93983,F,75,67.2
93984,F,32,81.9
93985,F,61,58
93986,F,7,21.3
93987,M,35,113.4
93988,F,32,49
93989,F,39,56.8
93990,F,64,93.6
93991,M,12,66.1
93992,F,12,41.2
93993,F,2,19.1
93994,F,0,5
93995,F,12,52.7
93996,M,3,20.1
93997,F,11,44.8
93998,F,24,51.5
93999,F,23,69.2
94000,M,60,NA
94001,F,18,51.6
94002,F,27,100
94003,F,75,64.1
94004,F,25,76.3
94005,M,7,36.2
94006,M,13,52.9
94007,M,79,62.9
94008,F,46,89.5
94009,F,11,48.5
94010,M,71,87.6
94011,F,7,23.7
94012,F,25,68.4
94013,M,56,68.1
94014,F,6,17.9
94015,F,30,67
94016,M,70,65
94017,M,54,92.5
94018,F,4,NA
94019,F,64,70.3
94020,M,3,14.4
94021,F,38,88
94022,F,1,10.8
94023,M,4,NA
94024,M,10,34.3
94025,F,5,16.2
94026,F,80,56.6
94027,M,20,77.9
94028,F,39,60.8
94029,F,46,68.9
94030,M,45,108.1
94031,M,67,78.2
94032,M,10,48.7
94033,F,55,74.4
94034,F,54,66.5
94035,F,12,78.3
94036,F,12,43.1
94037,M,59,74.3
94038,F,59,80
94039,M,60,84.4
94040,M,28,92.4
94041,F,60,62.8
94042,M,26,75
94043,M,64,62.2
94044,F,34,54
94045,M,62,74.2
94046,M,46,82.9
94047,F,45,93.7
94048,M,80,63.3
94049,F,66,121.2
94050,F,55,80.1
94051,F,80,70.1
94052,M,4,15.6
94053,F,62,91.9
94054,M,50,90.6
94055,M,80,56.5
94056,M,8,28.1
94057,F,62,84
94058,F,61,112.4
94059,F,54,65.8
94060,M,59,126.6
94061,F,36,78.3
94062,M,5,25.9
94063,M,2,14
94064,M,17,124.6
94065,F,69,62.7
94066,F,1,12
94067,M,44,98.6
94068,M,69,93.3
94069,M,61,105.5
94070,F,8,26
94071,M,33,76
94072,M,0,6.6
94073,M,69,97.2
94074,M,29,61.9
94075,M,9,41.7
94076,M,2,15.5
94077,F,79,NA
94078,F,19,78.9
94079,F,0,5.4
94080,F,79,59.4
94081,M,80,63.3
94082,F,69,55.7
94083,M,7,22.4
94084,F,61,64.3
94085,F,80,NA
94086,F,80,63.8
94087,M,19,83.4
94088,F,1,14.4
94089,F,12,57.3
94090,F,16,77.2
94091,M,11,40.7
94092,M,52,79.3
94093,M,36,123
94094,F,15,132.7
94095,F,78,66.7
94096,M,80,80
94097,F,62,91.5
94098,F,23,80.8
94099,F,20,83.1
94100,F,0,6.9
94101,F,64,74.2
94102,M,72,NA
94103,M,7,27.2
94104,F,7,28.9
94105,F,46,74
94106,M,19,74.7
94107,F,11,42.3
94108,M,64,71.9
94109,F,13,62.4
94110,M,3,13.4
94111,F,2,12.3
94112,M,28,74
94113,F,60,59.2
94114,M,20,60.8
94115,M,1,10.2
94116,F,60,70.2
94117,F,57,204.4
94118,F,50,71.7
94119,M,57,70.8
94120,F,11,NA
94121,F,12,63.3
94122,M,33,72.8
94123,F,50,NA
94124,M,55,83.1
94125,M,13,88.7
94126,F,62,80.7
94127,F,34,65.7
94128,M,35,124.1
94129,M,7,28.7
94130,F,27,70.9
94131,F,39,129
94132,M,14,65.5
94133,M,28,75.1
94134,F,61,70.1
94135,F,37,69.3
94136,M,10,31.4
94137,F,49,57.5
94138,F,72,58.8
94139,F,49,85.4
94140,M,17,97.6
94141,M,71,77.6
94142,M,5,17.7
94143,M,3,17.2
94144,M,18,122.6
94145,F,15,77.8
94146,F,2,14.4
94147,M,80,NA
94148,F,18,44.7
94149,M,14,88.3
94150,M,68,90.2
94151,M,23,83.7
94152,F,64,55.1
94153,M,10,33.1
94154,F,80,49.6
94155,M,56,120.5
94156,F,63,65.6
94157,F,60,40.4
94158,M,66,94.6
94159,F,13,52.9
94160,F,22,72.1
94161,M,53,68.7
94162,M,64,59.2
94163,M,35,77.3
94164,F,18,53.1
94165,F,9,34.7
94166,M,28,96.1
94167,M,17,49.7
94168,F,66,80.8
94169,M,26,75.2
94170,M,2,15.4
94171,M,8,38.9
94172,F,2,15.1
94173,F,68,78.7
94174,F,45,57.2
94175,M,77,75.9
94176,F,24,72.9
94177,F,59,54.9
94178,M,34,128.6
94179,M,72,137.5
94180,F,7,48.6
94181,F,36,77.7
94182,F,59,58
94183,M,49,154.1
94184,M,8,26.9
94185,M,3,17.8
94186,F,13,52
94187,F,54,62
94188,M,64,NA
94189,F,21,100.6
94190,M,43,78.9
94191,F,2,14.5
94192,F,54,99.1
94193,F,58,117.1
94194,F,9,27.4
94195,F,16,38.6
94196,F,0,5.1
94197,F,8,67.2
94198,F,63,68.7
94199,M,69,59.7
94200,F,26,91.3
94201,M,77,65.3
94202,M,70,132.6
94203,M,2,16.2
94204,M,80,NA
94205,F,73,87.7
94206,M,56,77.9
94207,M,62,85.6
94208,F,45,118.4
94209,F,0,8.7
94210,M,80,75.2
94211,F,23,49.4
94212,F,67,48.6
94213,F,3,NA
94214,F,19,56.4
94215,M,0,5.7
94216,F,67,79.2
94217,M,18,91.3
94218,F,5,18.1
94219,F,23,55
94220,F,17,72.7
94221,F,27,56.1
94222,M,2,13.1
94223,F,43,81.8
94224,M,23,110.9
94225,M,12,38.1
94226,M,5,27.8
94227,M,80,91.6
94228,F,0,8.7
94229,F,69,93.6
94230,M,15,59.1
94231,M,59,NA
94232,M,70,94
94233,M,62,76.4
94234,F,10,42.1
94235,F,18,63.2
94236,M,5,36.5
94237,M,63,123
94238,F,15,51.9
94239,F,76,NA
94240,F,7,NA
94241,F,30,69.1
94242,M,60,76.2
94243,M,80,81.6
94244,F,66,NA
94245,F,31,72.1
94246,M,48,78.9
94247,M,27,135.5
94248,F,38,83.9
94249,F,66,90.8
94250,F,23,117.7
94251,F,22,65.1
94252,M,15,137.4
94253,F,70,94.3
94254,F,8,40.7
94255,M,43,99.1
94256,F,8,30.7
94257,M,11,33
94258,M,51,95.6
94259,F,50,63.8
94260,F,48,74.6
94261,F,63,62.3
94262,M,22,65.1
94263,M,17,61
94264,F,7,25.6
94265,M,75,117.5
94266,M,43,67.7
94267,F,80,58
94268,M,13,58.7
94269,F,10,56.6
94270,M,33,65.4
94271,M,18,128.8
94272,M,16,78.4
94273,M,63,78.7
94274,F,58,98.8
94275,M,54,101.2
94276,M,80,57.7
94277,F,41,64.6
94278,M,62,68.5
94279,M,39,68.5
94280,F,9,38.6
94281,F,31,115.7
94282,F,17,81.4
94283,F,60,119.8
94284,F,58,77.4
94285,M,43,133.3
94286,F,75,63.4
94287,M,20,112.2
94288,F,28,NA
94289,F,17,NA
94290,F,35,79.5
94291,F,27,60.2
94292,F,14,55.2
94293,M,64,93
94294,F,14,70
94295,F,48,81.3
94296,F,1,11.5
94297,M,2,NA
94298,M,80,105.1
94299,F,12,67.3
94300,F,69,99
94301,F,64,59.8
94302,F,24,63.2
94303,M,65,67.9
94304,M,40,65.5
94305,F,18,60.4
94306,F,22,53.7
94307,F,10,37.5
94308,F,11,36.4
94309,F,54,86.2
94310,M,2,NA
94311,F,41,85.7
94312,F,15,54
94313,M,41,157.9
94314,M,48,70
94315,F,0,6
94316,M,0,NA
94317,M,10,28.7
94318,F,3,15.3
94319,M,44,78.6
94320,M,33,64.2
94321,M,60,89.2
94322,M,20,74
94323,M,60,74.3
94324,F,50,79.4
94325,F,62,96.3
94326,M,55,95.9
94327,M,61,NA
