pucid,dtxsid,gender,min.age,max.age,pr.chem,min.wf,max.wf,product,form,form.id
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,aerosol,1
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,aerosol,2
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,aerosol,3
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,gel,1
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,gel,2
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,gel,3
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,liquid,1
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,liquid,2
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,liquid,3
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,paste,1
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,paste,2
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,paste,3
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,pump spray,1
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,pump spray,2
AC.0100.010,DTXSID0021206,B,0,99,1,0.08,0.1,body paint,pump spray,3
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,aerosol,1
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,aerosol,2
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,aerosol,3
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,gel,1
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,gel,2
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,gel,3
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,liquid,1
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,liquid,2
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,liquid,3
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,paste,1
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,paste,2
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,paste,3
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,pump spray,1
AC.0100.010,DTXSID0021961,B,0,99,1,0.01,0.01,body paint,pump spray,2
