source.type,pucid,form,product.id,dtxsid,min.age,max.age,gender,pr.chem,dist.type,par1,par2,par3,par4,l.trunc,u.trunc,resamp
product,AC.0100.010,aerosol,1,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,aerosol,2,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,aerosol,3,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,gel,1,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,gel,2,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,gel,3,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,liquid,1,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,liquid,2,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,liquid,3,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,paste,1,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,paste,2,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,paste,3,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,pump spray,1,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,pump spray,2,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,pump spray,3,DTXSID0021206,0,99,B,1,uniform,0.08,0.1,,,,,
product,AC.0100.010,aerosol,1,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,aerosol,2,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,aerosol,3,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,gel,1,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,gel,2,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,gel,3,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,liquid,1,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,liquid,2,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,liquid,3,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,paste,1,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,paste,2,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,paste,3,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,pump spray,1,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,pump spray,2,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,pump spray,3,DTXSID0021961,0,99,B,1,uniform,0.01,0.01,,,,,
product,AC.0100.010,aerosol,1,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,aerosol,2,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,aerosol,3,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,gel,1,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,gel,2,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,gel,3,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,liquid,1,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,liquid,2,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,liquid,3,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,paste,1,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,paste,2,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,paste,3,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,pump spray,1,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,pump spray,2,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,pump spray,3,DTXSID0026838,0,99,B,1,uniform,0.3,0.3,,,,,
product,AC.0100.010,aerosol,1,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,aerosol,2,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,aerosol,3,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,gel,1,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,gel,2,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,gel,3,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,liquid,1,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,liquid,2,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,liquid,3,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,paste,1,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,paste,2,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,paste,3,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,pump spray,1,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,pump spray,2,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,pump spray,3,DTXSID0029559,0,99,B,1,uniform,0.002,0.01,,,,,
product,AC.0100.010,aerosol,1,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,aerosol,2,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,aerosol,3,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,gel,1,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,gel,2,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,gel,3,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,liquid,1,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,liquid,2,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,liquid,3,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,paste,1,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,paste,2,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,paste,3,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,pump spray,1,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,pump spray,2,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,pump spray,3,DTXSID0046513,0,99,B,1,uniform,0.1,0.1,,,,,
product,AC.0100.010,aerosol,1,DTXSID1021455,0,99,B,1,uniform,0.001,0.001,,,,,
product,AC.0100.010,aerosol,2,DTXSID1021455,0,99,B,1,uniform,0.001,0.001,,,,,
product,AC.0100.010,aerosol,3,DTXSID1021455,0,99,B,1,uniform,0.001,0.001,,,,,
