"","source.type","pucid","product","form","freq","prevalence"
"1","product","AC.0200.010","bubble solution","liquid",1,1
"2","product","AC.0200.020","crayons","solid",1,1
"3","product","AC.0200.030","finger paint","gel",2,0.5
"4","product","AC.0200.030","finger paint","paste",2,0.5
"5","product","AC.0200.040","modeling clay","solid",1,1
"6","product","AC.0300.010","fabric dye","liquid",1,1
"7","product","AC.0300.020","fabric paints and sealers","liquid",1,1
"8","product","AC.0500.010","arts and crafts adhesive","foam spray; liquid",3,0.333333333333333
"9","product","AC.0500.010","arts and crafts adhesive","gel",3,0.333333333333333
"10","product","AC.0500.010","arts and crafts adhesive","liquid",3,0.333333333333333
"11","product","AC.0500.020","arts and crafts cleaner","liquid",1,1
"12","product","AC.0500.030","arts and crafts finish","liquid",1,1
"13","product","AC.0500.040","arts and crafts paint","foam spray; liquid",3,0.333333333333333
"14","product","AC.0500.040","arts and crafts paint","liquid",3,0.333333333333333
"15","product","AC.0500.040","arts and crafts paint","solid",3,0.333333333333333
"16","product","AC.0500.050","craft kit","liquid",1,1
"17","product","AC.0500.060","flocking","aerosol",2,0.5
"18","product","AC.0500.060","flocking","foam spray; liquid",2,0.5
"19","product","AC.0700.020","pens and markers","gel",2,0.5
"20","product","AC.0700.020","pens and markers","liquid",2,0.5
"21","product","AC.0700.030","white out","liquid",1,1
"22","product","AC.0800.010","glaze","liquid",1,1
"23","product","CP.0200.010","bathroom cleaner","aerosol; foam spray; liquid",6,0.166666666666667
"24","product","CP.0200.010","bathroom cleaner","foam spray",6,0.166666666666667
"25","product","CP.0200.010","bathroom cleaner","foam spray; liquid",6,0.166666666666667
"26","product","CP.0200.010","bathroom cleaner","gel",6,0.166666666666667
"27","product","CP.0200.010","bathroom cleaner","liquid",6,0.166666666666667
"28","product","CP.0200.010","bathroom cleaner","pump spray",6,0.166666666666667
"29","product","CP.0300.010","carpet cleaner","aerosol",4,0.25
"30","product","CP.0300.010","carpet cleaner","foam spray",4,0.25
"31","product","CP.0300.010","carpet cleaner","liquid",4,0.25
"32","product","CP.0300.010","carpet cleaner","pump spray",4,0.25
"33","product","CP.0300.020","carpet deodorizer","powder",1,1
