source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,AC.0100.010,body paint,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0
product,AC.0100.010,body paint,gel,0.2,5,1,0,0,1,0,0,1,1,1,0
product,AC.0100.010,body paint,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,AC.0100.010,body paint,paste,0.2,5,1,0,0,1,0,0,1,1,1,0
product,AC.0100.010,body paint,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,AC.0200.010,bubble solution,liquid,1,1,1,0,0,1,0,0,1,1,1,0
product,AC.0200.020,crayons,solid,1,1,1,0,0,1,0,0,1,0,1,0
product,AC.0200.030,finger paint,gel,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0200.030,finger paint,paste,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0200.040,modeling clay,solid,1,1,1,0,0,1,0,0,1,0,1,0
product,AC.0300.010,fabric dye,powder,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0300.010,fabric dye,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0300.020,fabric paints and sealers,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0300.020,fabric paints and sealers,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0300.020,fabric paints and sealers,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0400.010,fogger,liquid,1,1,1,0,0,0,0,0,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,gel,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,paste,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,pump spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,AC.0500.010,arts and crafts adhesive,hot melt,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,AC.0500.020,arts and crafts cleaner,gel,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0500.020,arts and crafts cleaner,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0500.030,arts and crafts finish,aerosol,0.5,2,1,0,0,1,0,1,1,1,1,0
product,AC.0500.030,arts and crafts finish,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,AC.0500.040,arts and crafts paint,aerosol,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,AC.0500.040,arts and crafts paint,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0500.040,arts and crafts paint,solid,0.333333333,3,1,0,0,1,0,0,1,0,1,0
product,AC.0500.050,craft kit,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0500.050,craft kit,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0500.050,craft kit,solid,0.333333333,3,1,0,0,1,0,0,1,0,1,0
product,AC.0500.060,flocking,powder,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0500.060,flocking,aerosol,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,AC.0500.060,flocking,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0700.020,pens and markers,gel,0.5,2,1,0,0,1,0,0,1,0,1,0
product,AC.0700.020,pens and markers,liquid,0.5,2,1,0,0,1,0,0,1,0,1,0
product,AC.0700.030,white out,liquid,1,1,1,0,0,1,0,0,1,0,1,0
product,AC.0800.010,glaze,aerosol,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,AC.0800.010,glaze,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,AC.0800.010,glaze,pump spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,CP.0100.010,air freshener,aerosol,0.166666667,6,1,0,0,1,0,1,1,0,1,0
product,CP.0100.010,air freshener,pump spray,0.166666667,6,1,0,0,1,0,1,1,0,1,0
product,CP.0100.010,air freshener,gel,0.166666667,6,1,0,0,1,0,0,1,0,1,0
product,CP.0100.010,air freshener,liquid,0.166666667,6,1,0,0,1,0,0,1,0,1,0
product,CP.0100.010,air freshener,solid,0.166666667,6,1,0,0,1,0,0,1,0,1,0
product,CP.0200.010,bathroom cleaner,powder,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0200.010,bathroom cleaner,foam spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,CP.0200.010,bathroom cleaner,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,CP.0200.010,bathroom cleaner,pump spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,CP.0200.010,bathroom cleaner,gel,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0200.010,bathroom cleaner,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0300.010,carpet cleaner,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0300.010,carpet cleaner,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0300.010,carpet cleaner,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0300.010,carpet cleaner,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0300.010,carpet cleaner,powder,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0300.020,carpet deodorizer,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0300.020,carpet deodorizer,aerosol,0.25,4,1,0,0,1,0,1,1,1,1,0
product,CP.0300.020,carpet deodorizer,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,CP.0300.020,carpet deodorizer,powder,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0300.030,floor cleaner,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0300.030,floor cleaner,wipes,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0300.030,floor cleaner,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,CP.0300.030,floor cleaner,powder,0.25,4,1,0,0,1,0,0,1,1,1,0
product,CP.0300.040,floor polish,pump spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,CP.0300.040,floor polish,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0300.040,floor polish,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.020,automatic dishwashing additive,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.020,automatic dishwashing additive,pods,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.020,automatic dishwashing additive,powder,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.030,automatic dishwashing detergent,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.030,automatic dishwashing detergent,pods,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.030,automatic dishwashing detergent,powder,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0400.040,dish soap,liquid,1,1,1,0,0,1,0,0,1,1,1,0
product,CP.0500.010,drain products,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0500.010,drain products,pods,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0500.010,drain products,powder,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,CP.0600.010,fireplace,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0600.010,fireplace,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0600.010,fireplace,powder,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0600.010,fireplace,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0600.010,fireplace,solid,0.2,5,1,0,0,1,0,0,1,0,1,0
product,CP.0700.010,bleach,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0
product,CP.0700.010,bleach,powder,0.5,2,1,0,0,1,0,0,1,1,1,0
product,CP.0700.020,disinfectant,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0700.020,disinfectant,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0700.020,disinfectant,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0700.020,disinfectant,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0700.020,disinfectant,wipes,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0700.030,glass cleaner,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0700.030,glass cleaner,wipes,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0700.030,glass cleaner,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0700.030,glass cleaner,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,CP.0700.030,glass cleaner,powder,0.2,5,1,0,0,1,0,0,1,1,1,0
product,CP.0700.040,surface cleaner,powder,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0700.040,surface cleaner,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,CP.0700.040,surface cleaner,wipes,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0700.040,surface cleaner,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,CP.0700.040,surface cleaner,pump spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0
product,CP.0700.040,surface cleaner,foam spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0
