variable,units,mean,CV,type,min.age,max.age,gender,pucid
f.residual,[-],0.01,0,point,0,99,B,AC.0500.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,AC.0500.010
volume,m^3,24,0,Point,0,99,B,AC.0500.010
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,AC.0500.010
mass,g,15,1,Lognormal,0,99,B,AC.0500.010
use.freq,1/year,12,1,lognormal,0,99,B,AC.0500.010
duration,minutes,18,1,Lognormal,0,99,B,AC.0500.010
use.prev,[-],0.4,1,point,0,12,B,AC.0500.010
use.prev,[-],0.26,1,point,13,99,M,AC.0500.010
use.prev,[-],0.26,1,point,13,99,W,AC.0500.010
f.contact,[-],0.01,0,Point,0,99,B,AC.0500.010
house.prev,[-],0.4,1,point,0,99,B,AC.0500.010
mass,g,30,1,Lognormal,0,99,B,AC.0500.010
use.freq,1/year,22,1,lognormal,0,99,B,AC.0500.010
duration,minutes,22,1,Lognormal,0,99,B,AC.0500.010
f.contact,[-],0.017,0,Point,0,99,B,AC.0500.010
f.residual,[-],0.01,0,point,0,99,B,AC.0500.020
volume,m^3,24,0,Point,0,99,B,AC.0500.020
f.drain,[-],1,0,Uniform,0,99,B,AC.0500.020
mass,g,15,1,Lognormal,0,99,B,AC.0500.020
use.freq,1/year,12,1,lognormal,0,99,B,AC.0500.020
duration,minutes,5,1,Lognormal,0,99,B,AC.0500.020
use.prev,[-],0.02,1,point,0,12,B,AC.0500.020
use.prev,[-],0.01,1,point,13,99,M,AC.0500.020
use.prev,[-],0.02,1,point,13,99,W,AC.0500.020
f.contact,[-],0.01,0,Point,0,99,B,AC.0500.020
house.prev,[-],0.02,1,point,0,99,B,AC.0500.020
f.residual,[-],0.01,0,point,0,99,B,AC.0500.030
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,AC.0500.030
volume,m^3,24,0,Point,0,99,B,AC.0500.030
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,AC.0500.030
mass,g,50,1,Lognormal,0,99,B,AC.0500.030
use.freq,1/year,12,1,lognormal,0,99,B,AC.0500.030
duration,minutes,30,1,Lognormal,0,99,B,AC.0500.030
use.prev,[-],0.02,1,point,0,12,B,AC.0500.030
use.prev,[-],0.01,1,point,13,99,M,AC.0500.030
use.prev,[-],0.02,1,point,13,99,W,AC.0500.030
f.contact,[-],0.01,0,Point,0,99,B,AC.0500.030
house.prev,[-],0.02,1,point,0,99,B,AC.0500.030
f.residual,[-],0.01,0,point,0,99,B,AC.0500.040
volume,m^3,24,0,Point,0,99,B,AC.0500.040
f.drain,[-],0.05,0.577350269189626,Uniform,0,99,B,AC.0500.040
mass,g,30,1,Lognormal,0,99,B,AC.0500.040
use.freq,1/year,24,1,lognormal,0,99,B,AC.0500.040
duration,minutes,30,1,Lognormal,0,99,B,AC.0500.040
use.prev,[-],0.4,1,point,0,12,B,AC.0500.040
use.prev,[-],0.05,1,point,13,99,M,AC.0500.040
use.prev,[-],0.2,1,point,13,99,W,AC.0500.040
f.contact,[-],0.047,0,Point,0,99,B,AC.0500.040
house.prev,[-],0.4,1,point,0,99,B,AC.0500.040
f.residual,[-],0.01,0,point,0,99,B,AC.0100.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,AC.0100.010
volume,m^3,24,0,Point,0,99,B,AC.0100.010
f.drain,[-],1,0,Uniform,0,99,B,AC.0100.010
mass,g,15,1,Lognormal,0,99,B,AC.0100.010
use.freq,1/year,12,1,lognormal,0,12,B,AC.0100.010
use.freq,1/year,6,1,lognormal,13,99,B,AC.0100.010
duration,minutes,20,1,Lognormal,0,99,B,AC.0100.010
use.prev,[-],0.2,1,point,0,12,B,AC.0100.010
use.prev,[-],0.01,1,point,13,99,M,AC.0100.010
use.prev,[-],0.01,1,point,13,99,W,AC.0100.010
f.contact,[-],1,0,Point,0,99,B,AC.0100.010
house.prev,[-],0.2,1,point,0,99,B,AC.0100.010
f.residual,[-],0.01,0,point,0,99,B,AC.0200.010
volume,m^3,24,0,Point,0,99,B,AC.0200.010
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,AC.0200.010
mass,g,20,1,Lognormal,0,99,B,AC.0200.010
use.freq,1/year,12,1,lognormal,0,99,B,AC.0200.010
duration,minutes,30,1,Lognormal,0,99,B,AC.0200.010
use.prev,[-],0.6,1,point,0,12,B,AC.0200.010
use.prev,[-],0.05,1,point,13,99,M,AC.0200.010
use.prev,[-],0.05,1,point,13,99,W,AC.0200.010
f.contact,[-],0.05,0,Point,0,99,B,AC.0200.010
house.prev,[-],0.6,1,point,0,99,B,AC.0200.010
f.residual,[-],0.01,0,point,0,99,B,AC.0500.050
volume,m^3,24,0,Point,0,99,B,AC.0500.050
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,AC.0500.050
mass,g,30,1,Lognormal,0,99,B,AC.0500.050
use.freq,1/year,12,1,lognormal,0,99,B,AC.0500.050
duration,minutes,30,1,Lognormal,0,99,B,AC.0500.050
use.prev,[-],0.3,1,point,0,12,B,AC.0500.050
