source.type,pucid,variable,units,mean,CV,dist.type,min.age,max.age,gender
product,AC.0500.010,f.residual,[-],0.01,0,point,0,99,B
product,AC.0500.010,f.aerosol,[-],0.75,0.19245009,Uniform,0,99,B
product,AC.0500.010,volume,m^3,24,0,Point,0,99,B
product,AC.0500.010,f.drain,[-],0.05,0.577350269,Uniform,0,99,B
product,AC.0500.010,mass,g,15,1,Lognormal,0,99,B
product,AC.0500.010,use.freq,1/year,12,1,lognormal,0,99,B
product,AC.0500.010,duration,minutes,18,1,Lognormal,0,99,B
product,AC.0500.010,use.prev,[-],0.4,1,point,0,12,B
product,AC.0500.010,use.prev,[-],0.26,1,point,13,99,M
product,AC.0500.010,use.prev,[-],0.26,1,point,13,99,W
product,AC.0500.010,f.contact,[-],0.01,0,Point,0,99,B
product,AC.0500.010,house.prev,[-],0.4,1,point,0,99,B
product,AC.0500.010,mass,g,30,1,Lognormal,0,99,B
product,AC.0500.010,use.freq,1/year,22,1,lognormal,0,99,B
product,AC.0500.010,duration,minutes,22,1,Lognormal,0,99,B
product,AC.0500.010,f.contact,[-],0.017,0,Point,0,99,B
product,AC.0500.020,f.residual,[-],0.01,0,point,0,99,B
product,AC.0500.020,volume,m^3,24,0,Point,0,99,B
product,AC.0500.020,f.drain,[-],1,0,Uniform,0,99,B
product,AC.0500.020,mass,g,15,1,Lognormal,0,99,B
product,AC.0500.020,use.freq,1/year,12,1,lognormal,0,99,B
product,AC.0500.020,duration,minutes,5,1,Lognormal,0,99,B
product,AC.0500.020,use.prev,[-],0.02,1,point,0,12,B
product,AC.0500.020,use.prev,[-],0.01,1,point,13,99,M
product,AC.0500.020,use.prev,[-],0.02,1,point,13,99,W
product,AC.0500.020,f.contact,[-],0.01,0,Point,0,99,B
product,AC.0500.020,house.prev,[-],0.02,1,point,0,99,B
product,AC.0500.030,f.residual,[-],0.01,0,point,0,99,B
product,AC.0500.030,f.aerosol,[-],0.75,0.19245009,Uniform,0,99,B
product,AC.0500.030,volume,m^3,24,0,Point,0,99,B
